date,open,high,low,close,volume
2018-01-02,4.086,4.138,4.084,4.136,168876561.0
2018-01-03,4.136,4.186,4.132,4.158,126793328.0
2018-01-04,4.158,4.18,4.15,4.171,92220709.0
2018-01-05,4.179,4.197,4.165,4.187,127131673.0
2018-01-08,4.186,4.214,4.173,4.204,105696705.0
2018-01-09,4.204,4.241,4.197,4.238,107946072.0
2018-01-10,4.234,4.26,4.221,4.256,144965698.0
2018-01-11,4.249,4.256,4.232,4.25,98475059.0
2018-01-12,4.25,4.277,4.245,4.273,103574919.0
2018-01-15,4.273,4.31,4.261,4.265,157364726.0
2018-01-16,4.265,4.311,4.26,4.308,123183954.0
2018-01-17,4.309,4.327,4.281,4.295,158939722.0
2018-01-18,4.301,4.336,4.298,4.323,125086310.0
2018-01-19,4.325,4.365,4.322,4.335,218506460.0
2018-01-22,4.322,4.393,4.322,4.39,139873365.0
2018-01-23,4.353,4.389,4.35,4.388,158466266.0
2018-01-24,4.388,4.4,4.356,4.391,161345725.0
2018-01-25,4.388,4.39,4.341,4.363,154871983.0
2018-01-26,4.35,4.414,4.345,4.385,98413154.0
2018-01-29,4.395,4.4,4.291,4.302,214053187.0
2018-01-30,4.292,4.31,4.255,4.258,161687140.0
2018-01-31,4.246,4.286,4.24,4.271,166736854.0
2018-02-01,4.27,4.288,4.216,4.241,439073590.0
2018-02-02,4.21,4.273,4.188,4.267,212796141.0
2018-02-05,4.229,4.268,4.21,4.263,230839513.0
2018-02-06,4.2,4.213,4.136,4.143,313173133.0
2018-02-07,4.2,4.209,4.039,4.045,339517812.0
2018-02-08,4.04,4.072,3.981,4.012,312348562.0
2018-02-09,3.905,3.921,3.764,3.827,416837179.0
2018-02-12,3.836,3.905,3.824,3.882,193558868.0
2018-02-13,3.917,3.981,3.917,3.929,162462468.0
2018-02-14,3.941,3.971,3.927,3.964,93035624.0
2018-02-22,4.016,4.053,4.002,4.046,189064057.0
2018-02-23,4.054,4.078,4.033,4.068,157657247.0
