,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SH.516160,2021-09-13 09:45:00,1.383,1.38,1.391,1.373,0.0,0.0,18063874,24954398.0,-0.3610108303249181,1.385
1,SH.516160,2021-09-13 10:00:00,1.38,1.37,1.384,1.369,0.0,0.0,13209800,18178121.0,-0.7246376811594049,1.38
2,SH.516160,2021-09-13 10:15:00,1.369,1.368,1.376,1.361,0.0,0.0,12481300,17080057.0,-0.14598540145985414,1.37
3,SH.516160,2021-09-13 10:30:00,1.369,1.369,1.371,1.362,0.0,0.0,8135900,11121519.0,0.07309941520467031,1.368
4,SH.516160,2021-09-13 10:45:00,1.37,1.358,1.37,1.358,0.0,0.0,12624900,17211689.0,-0.803506208911607,1.369
5,SH.516160,2021-09-13 11:00:00,1.358,1.353,1.359,1.352,0.0,0.0,11994100,16250156.0,-0.36818851251841794,1.358
6,SH.516160,2021-09-13 11:15:00,1.353,1.357,1.36,1.35,0.0,0.0,11429300,15489678.0,0.29563932002956417,1.353
7,SH.516160,2021-09-13 11:30:00,1.356,1.359,1.362,1.356,0.0,0.0,3961200,5380159.0,0.14738393515106868,1.357
8,SH.516160,2021-09-13 13:15:00,1.359,1.36,1.361,1.354,0.0,0.0,3435400,4662454.0,0.0735835172921348,1.359
9,SH.516160,2021-09-13 13:30:00,1.359,1.363,1.363,1.358,0.0,0.0,3804300,5177886.0,0.22058823529410967,1.36
10,SH.516160,2021-09-13 13:45:00,1.363,1.358,1.365,1.355,0.0,0.0,6978900,9484161.0,-0.3668378576669034,1.363
11,SH.516160,2021-09-13 14:00:00,1.358,1.358,1.359,1.355,0.0,0.0,3511400,4765251.0,0.0,1.358
12,SH.516160,2021-09-13 14:15:00,1.358,1.358,1.359,1.355,0.0,0.0,3529500,4790801.0,0.0,1.358
13,SH.516160,2021-09-13 14:30:00,1.358,1.357,1.359,1.355,0.0,0.0,3110300,4221147.0,-0.07363770250369012,1.358
14,SH.516160,2021-09-13 14:45:00,1.357,1.361,1.361,1.355,0.0,0.0,4016000,5447719.0,0.29476787030213736,1.357
15,SH.516160,2021-09-13 15:00:00,1.361,1.361,1.363,1.359,0.0,0.0,7241200,9852985.0,0.0,1.361
16,SH.516160,2021-09-14 09:45:00,1.363,1.344,1.363,1.335,0.0,0.0,19615300,26412434.0,-1.2490815576781709,1.361
17,SH.516160,2021-09-14 10:00:00,1.342,1.371,1.373,1.341,0.0,0.0,14363400,19519496.0,2.008928571428565,1.344
18,SH.516160,2021-09-14 10:15:00,1.371,1.384,1.39,1.371,0.0,0.0,20982800,28996584.0,0.9482129832239169,1.371
19,SH.516160,2021-09-14 10:30:00,1.385,1.392,1.398,1.384,0.0,0.0,15564600,21661771.0,0.5780346820809255,1.384
20,SH.516160,2021-09-14 10:45:00,1.392,1.394,1.397,1.389,0.0,0.0,9731800,13559486.0,0.14367816091954036,1.392
21,SH.516160,2021-09-14 11:00:00,1.394,1.39,1.396,1.39,0.0,0.0,7785000,10846694.0,-0.2869440459110476,1.394
22,SH.516160,2021-09-14 11:15:00,1.39,1.396,1.402,1.389,0.0,0.0,19428500,27157819.0,0.43165467625899323,1.39
23,SH.516160,2021-09-14 11:30:00,1.396,1.397,1.399,1.394,0.0,0.0,3864000,5397155.0,0.07163323782235759,1.396
24,SH.516160,2021-09-14 13:15:00,1.397,1.392,1.398,1.388,0.0,0.0,5946867,8283375.0,-0.3579098067287126,1.397
25,SH.516160,2021-09-14 13:30:00,1.392,1.386,1.392,1.386,0.0,0.0,3062300,4256797.0,-0.4310344827586211,1.392
26,SH.516160,2021-09-14 13:45:00,1.386,1.385,1.387,1.382,0.0,0.0,3755000,5199464.0,-0.07215007215006422,1.386
27,SH.516160,2021-09-14 14:00:00,1.385,1.379,1.387,1.379,0.0,0.0,1962500,2713945.0,-0.433212996389892,1.385
28,SH.516160,2021-09-14 14:15:00,1.379,1.371,1.379,1.371,0.0,0.0,3820900,5254692.0,-0.5801305293691086,1.379
29,SH.516160,2021-09-14 14:30:00,1.371,1.38,1.381,1.368,0.0,0.0,4604900,6329243.0,0.65645514223194,1.371
30,SH.516160,2021-09-14 14:45:00,1.38,1.379,1.382,1.376,0.0,0.0,3591000,4952919.0,-0.07246376811593405,1.38
31,SH.516160,2021-09-14 15:00:00,1.379,1.381,1.384,1.375,0.0,0.0,9934100,13717129.0,0.14503263234227715,1.379
32,SH.516160,2021-09-15 09:45:00,1.385,1.396,1.396,1.376,0.0,0.0,17229100,23896764.0,1.0861694424330124,1.381
33,SH.516160,2021-09-15 10:00:00,1.396,1.392,1.398,1.383,0.0,0.0,8552800,11891443.0,-0.2865329512893986,1.396
34,SH.516160,2021-09-15 10:15:00,1.393,1.403,1.407,1.392,0.0,0.0,13962300,19561804.0,0.79022988505748,1.392
35,SH.516160,2021-09-15 10:30:00,1.403,1.404,1.404,1.394,0.0,0.0,6439800,9014909.0,0.07127583749108267,1.403
36,SH.516160,2021-09-15 10:45:00,1.404,1.397,1.408,1.396,0.0,0.0,8072600,11325863.0,-0.4985754985754911,1.404
37,SH.516160,2021-09-15 11:00:00,1.397,1.4,1.4,1.391,0.0,0.0,8631800,12030636.0,0.21474588403721487,1.397
38,SH.516160,2021-09-15 11:15:00,1.399,1.4,1.402,1.395,0.0,0.0,4451600,6226209.0,0.0,1.4
39,SH.516160,2021-09-15 11:30:00,1.4,1.406,1.406,1.399,0.0,0.0,3946900,5535132.0,0.42857142857142894,1.4
40,SH.516160,2021-09-15 13:15:00,1.406,1.404,1.409,1.402,0.0,0.0,7723700,10860311.0,-0.14224751066856345,1.406
41,SH.516160,2021-09-15 13:30:00,1.405,1.402,1.406,1.401,0.0,0.0,23860500,33526191.0,-0.1424501424501426,1.404
42,SH.516160,2021-09-15 13:45:00,1.403,1.406,1.407,1.402,0.0,0.0,5944348,8349724.0,0.2853067047075609,1.402
43,SH.516160,2021-09-15 14:00:00,1.405,1.409,1.411,1.405,0.0,0.0,10129600,14271730.0,0.21337126600285303,1.406
44,SH.516160,2021-09-15 14:15:00,1.409,1.411,1.413,1.408,0.0,0.0,8214400,11588766.0,0.1419446415897801,1.409
45,SH.516160,2021-09-15 14:30:00,1.412,1.414,1.415,1.408,0.0,0.0,9532600,13455700.0,0.21261516654853943,1.411
46,SH.516160,2021-09-15 14:45:00,1.414,1.41,1.415,1.41,0.0,0.0,5259338,7428148.0,-0.28288543140028316,1.414
47,SH.516160,2021-09-15 15:00:00,1.41,1.413,1.414,1.41,0.0,0.0,7067000,9977419.0,0.2127659574468166,1.41
48,SH.516160,2021-09-16 09:45:00,1.413,1.39,1.414,1.39,0.0,0.0,19474600,27294596.0,-1.6277423920736116,1.413
49,SH.516160,2021-09-16 10:00:00,1.39,1.384,1.393,1.379,0.0,0.0,17439100,24137082.0,-0.43165467625899323,1.39
50,SH.516160,2021-09-16 10:15:00,1.383,1.381,1.39,1.38,0.0,0.0,8550400,11835945.0,-0.216763005780339,1.384
51,SH.516160,2021-09-16 10:30:00,1.38,1.382,1.39,1.38,0.0,0.0,4417100,6119457.0,0.07241129616219333,1.381
52,SH.516160,2021-09-16 10:45:00,1.381,1.375,1.382,1.371,0.0,0.0,15006900,20650316.0,-0.506512301013017,1.382
53,SH.516160,2021-09-16 11:00:00,1.376,1.365,1.376,1.361,0.0,0.0,15146400,20711823.0,-0.7272727272727278,1.375
54,SH.516160,2021-09-16 11:15:00,1.364,1.356,1.37,1.356,0.0,0.0,13348900,18183715.0,-0.6593406593406518,1.365
55,SH.516160,2021-09-16 11:30:00,1.355,1.353,1.358,1.35,0.0,0.0,17902900,24227313.0,-0.2212389380531057,1.356
56,SH.516160,2021-09-16 13:15:00,1.353,1.358,1.359,1.347,0.0,0.0,23336300,31545276.0,0.3695491500369635,1.353
57,SH.516160,2021-09-16 13:30:00,1.359,1.353,1.361,1.352,0.0,0.0,8299500,11266737.0,-0.36818851251841794,1.358
58,SH.516160,2021-09-16 13:45:00,1.353,1.351,1.357,1.35,0.0,0.0,10530400,14240715.0,-0.14781966001478208,1.353
59,SH.516160,2021-09-16 14:00:00,1.351,1.348,1.352,1.347,0.0,0.0,10664700,14390946.0,-0.22205773501109485,1.351
60,SH.516160,2021-09-16 14:15:00,1.349,1.349,1.351,1.347,0.0,0.0,8307600,11206794.0,0.07418397626111943,1.348
61,SH.516160,2021-09-16 14:30:00,1.349,1.353,1.354,1.348,0.0,0.0,6835400,9236028.0,0.2965159377316533,1.349
62,SH.516160,2021-09-16 14:45:00,1.353,1.346,1.353,1.345,0.0,0.0,15506500,20897000.0,-0.5173688100517292,1.353
63,SH.516160,2021-09-16 15:00:00,1.345,1.346,1.347,1.341,0.0,0.0,21524900,28905865.0,0.0,1.346
64,SH.516160,2021-09-17 09:45:00,1.332,1.355,1.355,1.332,0.0,0.0,19002500,25561000.0,0.6686478454680458,1.346
65,SH.516160,2021-09-17 10:00:00,1.354,1.354,1.36,1.353,0.0,0.0,11560700,15689804.0,-0.07380073800737195,1.355
66,SH.516160,2021-09-17 10:15:00,1.354,1.362,1.362,1.352,0.0,0.0,10771300,14630071.0,0.5908419497784347,1.354
67,SH.516160,2021-09-17 10:30:00,1.361,1.341,1.362,1.341,0.0,0.0,8085077,10910016.0,-1.5418502202643265,1.362
68,SH.516160,2021-09-17 10:45:00,1.341,1.331,1.346,1.331,0.0,0.0,13584123,18194233.0,-0.7457121551081289,1.341
69,SH.516160,2021-09-17 11:00:00,1.331,1.328,1.331,1.322,0.0,0.0,12618500,16744471.0,-0.2253944402704652,1.331
70,SH.516160,2021-09-17 11:15:00,1.329,1.332,1.34,1.329,0.0,0.0,7635600,10201329.0,0.3012048192771087,1.328
71,SH.516160,2021-09-17 11:30:00,1.332,1.318,1.332,1.318,0.0,0.0,12668600,16771919.0,-1.051051051051052,1.332
72,SH.516160,2021-09-17 13:15:00,1.318,1.31,1.32,1.31,0.0,0.0,12175500,15999707.0,-0.6069802731411235,1.318
73,SH.516160,2021-09-17 13:30:00,1.31,1.319,1.319,1.308,0.0,0.0,10990700,14436193.0,0.6870229007633508,1.31
74,SH.516160,2021-09-17 13:45:00,1.319,1.328,1.33,1.319,0.0,0.0,5427500,7191426.0,0.6823351023502744,1.319
75,SH.516160,2021-09-17 14:00:00,1.329,1.338,1.339,1.326,0.0,0.0,6515500,8701123.0,0.7530120481927717,1.328
76,SH.516160,2021-09-17 14:15:00,1.338,1.339,1.34,1.332,0.0,0.0,3374100,4511151.0,0.07473841554558219,1.338
77,SH.516160,2021-09-17 14:30:00,1.34,1.35,1.351,1.339,0.0,0.0,8011100,10781600.0,0.8215085884988889,1.339
78,SH.516160,2021-09-17 14:45:00,1.35,1.347,1.35,1.342,0.0,0.0,4909100,6607334.0,-0.22222222222223065,1.35
79,SH.516160,2021-09-17 15:00:00,1.346,1.346,1.348,1.343,0.0,0.0,5562400,7483763.0,-0.07423904974015515,1.347
80,SH.516160,2021-09-22 09:45:00,1.328,1.354,1.355,1.326,0.0,0.0,21056100,28287097.0,0.594353640416048,1.346
81,SH.516160,2021-09-22 10:00:00,1.354,1.356,1.358,1.35,0.0,0.0,9413400,12743078.0,0.14771048744460868,1.354
82,SH.516160,2021-09-22 10:15:00,1.357,1.354,1.359,1.349,0.0,0.0,5567700,7538925.0,-0.1474926253687317,1.356
83,SH.516160,2021-09-22 10:30:00,1.354,1.354,1.356,1.345,0.0,0.0,3111000,4202194.0,0.0,1.354
84,SH.516160,2021-09-22 10:45:00,1.355,1.359,1.361,1.352,0.0,0.0,7957600,10797939.0,0.3692762186115135,1.354
85,SH.516160,2021-09-22 11:00:00,1.359,1.363,1.363,1.356,0.0,0.0,6208500,8447972.0,0.2943340691685065,1.359
86,SH.516160,2021-09-22 11:15:00,1.363,1.36,1.363,1.358,0.0,0.0,3046000,4143585.0,-0.2201027146001388,1.363
87,SH.516160,2021-09-22 11:30:00,1.36,1.361,1.362,1.36,0.0,0.0,1681400,2289208.0,0.07352941176469778,1.36
88,SH.516160,2021-09-22 13:15:00,1.361,1.361,1.364,1.36,0.0,0.0,5998100,8172260.0,0.0,1.361
89,SH.516160,2021-09-22 13:30:00,1.361,1.36,1.363,1.36,0.0,0.0,1520000,2069768.0,-0.07347538574576708,1.361
90,SH.516160,2021-09-22 13:45:00,1.361,1.36,1.361,1.358,0.0,0.0,3517900,4783396.0,0.0,1.36
91,SH.516160,2021-09-22 14:00:00,1.36,1.357,1.361,1.357,0.0,0.0,4029500,5476515.0,-0.22058823529412597,1.36
92,SH.516160,2021-09-22 14:15:00,1.357,1.354,1.358,1.354,0.0,0.0,3507300,4752942.0,-0.22107590272659483,1.357
93,SH.516160,2021-09-22 14:30:00,1.354,1.355,1.356,1.353,0.0,0.0,3497000,4737032.0,0.07385524372229614,1.354
94,SH.516160,2021-09-22 14:45:00,1.356,1.353,1.356,1.352,0.0,0.0,2899500,3924437.0,-0.14760147601476029,1.355
95,SH.516160,2021-09-22 15:00:00,1.353,1.355,1.356,1.352,0.0,0.0,4414200,5975712.0,0.14781966001478208,1.353
