,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SZ.159755,2021-09-13 09:45:00,1.333,1.331,1.344,1.322,0.0,0.0,18628400,24840893.1,0.15048908954100843,1.329
1,SZ.159755,2021-09-13 10:00:00,1.331,1.322,1.335,1.322,0.0,0.0,12287301,16349489.832,-0.6761833208114122,1.331
2,SZ.159755,2021-09-13 10:15:00,1.322,1.321,1.33,1.315,0.0,0.0,9392101,12426815.223,-0.07564296520424446,1.322
3,SZ.159755,2021-09-13 10:30:00,1.321,1.317,1.321,1.313,0.0,0.0,4286600,5642249.8,-0.30280090840272544,1.321
4,SZ.159755,2021-09-13 10:45:00,1.316,1.305,1.316,1.304,0.0,0.0,8214700,10766254.2,-0.9111617312072902,1.317
5,SZ.159755,2021-09-13 11:00:00,1.305,1.303,1.307,1.3,0.0,0.0,8112201,10571725.601,-0.15325670498084304,1.305
6,SZ.159755,2021-09-13 11:15:00,1.303,1.309,1.312,1.3,0.0,0.0,7058721,9213038.102,0.46047582501918694,1.303
7,SZ.159755,2021-09-13 11:30:00,1.309,1.308,1.313,1.307,0.0,0.0,2076000,2720821.7,-0.07639419404124445,1.309
8,SZ.159755,2021-09-13 13:15:00,1.309,1.312,1.314,1.306,0.0,0.0,2615401,3420529.608,0.3058103975535171,1.308
9,SZ.159755,2021-09-13 13:30:00,1.312,1.312,1.315,1.308,0.0,0.0,3313900,4345264.7,0.0,1.312
10,SZ.159755,2021-09-13 13:45:00,1.312,1.31,1.314,1.308,0.0,0.0,2764400,3622185.5,-0.15243902439024404,1.312
11,SZ.159755,2021-09-13 14:00:00,1.309,1.307,1.309,1.305,0.0,0.0,3105700,4059043.3,-0.22900763358779494,1.31
12,SZ.159755,2021-09-13 14:15:00,1.307,1.309,1.31,1.306,0.0,0.0,1780500,2329973.5,0.15302218821729166,1.307
13,SZ.159755,2021-09-13 14:30:00,1.309,1.308,1.309,1.306,0.0,0.0,1752500,2292121.6,-0.07639419404124445,1.309
14,SZ.159755,2021-09-13 14:45:00,1.308,1.311,1.311,1.307,0.0,0.0,3163703,4139163.524,0.2293577981651293,1.308
15,SZ.159755,2021-09-13 15:00:00,1.311,1.315,1.315,1.311,0.0,0.0,4717503,6193602.545,0.3051106025934404,1.311
16,SZ.159755,2021-09-14 09:45:00,1.311,1.3,1.315,1.29,0.0,0.0,17324803,22544581.27,-1.1406844106463805,1.315
17,SZ.159755,2021-09-14 10:00:00,1.299,1.341,1.341,1.298,0.0,0.0,27109904,35913970.819,3.153846153846148,1.3
18,SZ.159755,2021-09-14 10:15:00,1.341,1.351,1.358,1.337,0.0,0.0,35014005,47178118.356,0.7457121551081289,1.341
19,SZ.159755,2021-09-14 10:30:00,1.352,1.366,1.37,1.351,0.0,0.0,37114002,50514313.221,1.1102886750555236,1.351
20,SZ.159755,2021-09-14 10:45:00,1.365,1.372,1.376,1.365,0.0,0.0,21087130,28917706.665,0.4392386530014645,1.366
21,SZ.159755,2021-09-14 11:00:00,1.374,1.369,1.375,1.368,0.0,0.0,13358704,18345143.08,-0.21865889212828812,1.372
22,SZ.159755,2021-09-14 11:15:00,1.369,1.376,1.382,1.368,0.0,0.0,24063611,33125170.111,0.5113221329437468,1.369
23,SZ.159755,2021-09-14 11:30:00,1.376,1.378,1.382,1.373,0.0,0.0,14527001,20017818.077,0.14534883720930247,1.376
24,SZ.159755,2021-09-14 13:15:00,1.378,1.365,1.379,1.364,0.0,0.0,23870700,32642132.9,-0.9433962264150872,1.378
25,SZ.159755,2021-09-14 13:30:00,1.366,1.36,1.37,1.36,0.0,0.0,18343100,25053451.1,-0.3663003663003585,1.365
26,SZ.159755,2021-09-14 13:45:00,1.36,1.361,1.362,1.355,0.0,0.0,6000122,8151421.162,0.07352941176469778,1.36
27,SZ.159755,2021-09-14 14:00:00,1.36,1.357,1.364,1.356,0.0,0.0,6519000,8869366.3,-0.29390154298310095,1.361
28,SZ.159755,2021-09-14 14:15:00,1.356,1.355,1.358,1.352,0.0,0.0,10555503,14311847.464,-0.14738393515106868,1.357
29,SZ.159755,2021-09-14 14:30:00,1.355,1.359,1.363,1.35,0.0,0.0,12556902,17026486.72,0.29520295202952057,1.355
30,SZ.159755,2021-09-14 14:45:00,1.359,1.353,1.362,1.353,0.0,0.0,5275701,7163675.955,-0.4415011037527598,1.359
31,SZ.159755,2021-09-14 15:00:00,1.353,1.355,1.364,1.352,0.0,0.0,11166602,15148951.023,0.14781966001478208,1.353
